# Catalogo dei tipi di aeromobile: da designatore ICAO al modello.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# aerei.csv, che vince sempre su questo.
#
# Fonte: ICAO Doc 8643, copia rikgale/ICAOList.
# 2767 voci.
A002,A-002,Irkut A-002
MAVR,Maverick,AEA Maverick
MC01,MC-01,Montaer MC-01
MC10,MC-10 Cricri,Colomban MC-10 Cricri
MC23,MC-21-300,Irkut MC-21-300
MC45,MAC-145,Meyers MAC-145
MC90,Monocoupe 90,Monocoupe 90
MCOU,Mini Coupe,Chris Tena Mini Coupe
MCOY,Coyote,Montana Coyote
MCR1,MCR-01,Dyn'Aero MCR-01
MCR4,MCR-4,Dyn'Aero MCR-4
MCRR,MCR-R180,Dyn'Aero MCR-R180
MCUL,McCullocoupe,Kimball McCullocoupe
MD11,MD-11,McDonnell Douglas MD-11
MD3,MD-3 Swiss Trainer,Datwyler MD-3 Swiss Trainer
MD3R,MD-3 Rider,Flyitalia MD-3 Rider
MD52,MD-520N,McDonnell Douglas MD-520N
MD60,MD-600N,McDonnell Douglas MD-600N
MD81,MD-81,McDonnell Douglas MD-81
MD82,MD-82,McDonnell Douglas MD-82
MD83,MD-83,McDonnell Douglas MD-83
MD87,MD-87,McDonnell Douglas MD-87
MD88,MD-88,McDonnell Douglas MD-88
MD90,MD-90,McDonnell Douglas MD-90
ME08,Bf-108 Taifun,Messerschmitt Bf-108 Taifun
ME09,Bf-109,Messerschmitt Bf-109
ME62,Me-262 Replica,Messerschmitt Me-262 Replica
MEAD,Adventure,Mead Adventure
MEL2,Melmoth 2,Garrison Melmoth 2
MERK,Merkury,Aviaton Merkury
MESS,M-38 Messenger,Miles M-38 Messenger
METR,Meteor,Gloster Meteor
MEXP,Explorer,Merlin Explorer
MF10,MFI-10 Vipan,Malmo MFI-10 Vipan
MF17,MFI-17 Supporter,Saab MFI-17 Supporter
MG15,MiG-15,Mikoyan MiG-15
MG17,MiG-17,Mikoyan MiG-17
MG19,MiG-19,Mikoyan MiG-19
MG21,MiG-21,Mikoyan MiG-21
MG23,MiG-23,Mikoyan MiG-23
MG29,MiG-29,Mikoyan MiG-29
MG31,MiG-31,Mikoyan MiG-31
MG44,MiG 1-44,Mikoyan MiG 1-44
MGAT,MiG-AT,Mikoyan MiG-AT
MGIC,Magic,Kaiser Magic
MGNM,Magnum,Aviation Enterprises Magnum
MH20,MH-2000,Mitsubishi MH-2000
MH46,MH-46 Eclipse,Aerosette MH-46 Eclipse
MI10,Mi-10,Mil Mi-10
MI14,Mi-14,Mil Mi-14
MI2,Mil Mi-2,Mil Mi-2
MI24,Mi-24,Mil Mi-24
MI26,Mi-26,Mil Mi-26
MI28,Mi-28,Mil Mi-28
MI34,Mi-34,Mil Mi-34
MI38,Mi-38,Mil Mi-38
MI4,Mil Mi-4,Mil Mi-4
MI6,Mil Mi-6,Mil Mi-6
MI8,Mil Mi-8,Mil Mi-8
MIDR,Midour 2,Acba Midour 2
MIMP,Mini-Imp,Aerocar Mini-Imp
MIMU,MM-1 Midget Mustang,Mustang MM-1 Midget Mustang
MIR2,Mirage 2000,Dassault Mirage 2000
MIRA,Mirage 5,Dassault Mirage 5
MITE,M-18 Mite,Mooney M-18 Mite
MJ10,MJ-10 Spit,Jurca MJ-10 Spit
MJ12,MJ-12 P-40,Jurca MJ-12 P-40
MJ1H,MJ-100 Spitfire,Jurca MJ-100 Spitfire Replica
MJ2,MJ-2 Tempête,Jurca MJ-2 Tempête
MJ3,MJ-3 Dart,Jurca MJ-3 Dart
MJ4,MJ-4 Shadow,Jurca MJ-4 Shadow
MJ5,MJ-5 Sirocco,Jurca MJ-5 Sirocco
MJ53,MJ-53 Autan,Jurca MJ-53 Autan
MJ55,MJ-55 Biso,Jurca MJ-55 Biso
MJ7,MJ-7 Gnatsum,Jurca MJ-7 Gnatsum
MJ77,MJ-77 Gnatsum,Jurca MJ-77 Gnatsum
MJ8,MJ-8 1-Nine-0,Jurca MJ-8 1-Nine-0
MJ80,MJ-80 Focke-Wulf,Jurca MJ-80 Focke-Wulf Fw-190 Replica
MJ9,Jurca MJ-9,Jurca MJ-9
MJ90,MJ-90 Messerschmitt,Jurca MJ-90 Messerschmitt Bf-109 Replica
MLER,Moottori-Lerche,Alanne Moottori-Lerche
MM14,M-14 Scout,Magni M-14 Scout
MM16,M-16 Tandem Trainer,Magni M-16 Tandem Trainer
MM19,M-19 Shark,Magni M-19 Shark
MM21,Magni M-21,Magni M-21
MM22,M-22 Voyager,Magni M-22 Voyager
MM24,M-24 Orion,Magni M-24 Orion
MMAC,Mini-Mac,Mccarley Mini-Mac
MMAX,Mad Max,Mad Max Aero Mad Max
MMUT,L-1 Malamut,Mara Wing L-1 Malamut
MNEX,Nordic 8 Mini,Norman Nordic 8 Mini Explorer
MOCU,MonoCulp,Culp MonoCulp
MOGO,Mountain Goat,Kinetic Mountain Goat
MOL1,Molniya 1,Molniya 1
MONA,M-17 Monarch,Miles M-17 Monarch
MONI,Monnett Moni,Monnett Moni
MOR2,2150 Kachina,Varga 2150 Kachina
MOSP,Sport,Mong Sport
MOSQ,DH-98 Mosquito,De Havilland DH-98 Mosquito
MOTO,Moto Du Ciel,Humbert Moto Du Ciel
MP02,MP-02 Czajka,Aero-Kros MP-02 Czajka
MP20,MP-205 Busard,Plan MP-205 Busard
MR25,SR-2500 Super Rebel,Murphy SR-2500 Super Rebel
MR35,SR-3500 Moose,Murphy SR-3500 Moose
MR3T,SR-3500 T-Moose,Murphy SR-3500 T-Moose
MRAI,Monerai P,Monnett Monerai P
MRAM,1-2 Mister America,Harmon (1) 1-2 Mister America
MRF1,Mirage F1,Dassault Mirage F1
MRJ7,MRJ-70,Mitsubishi MRJ-70
MRJ9,MRJ-90,Mitsubishi MRJ-90
MRMD,Mermaid,Czaw Mermaid
MRTN,Marathon,Mirage Marathon
MS1,Mysky MS-1,Mysky MS-1
MS18,MS-200FG Morane,Socata MS-200FG Morane
MS23,MS-230,Morane-Saulnier MS-230
MS25,MS-200RG Morane,Socata MS-200RG Morane
MS30,MS-300 Epsilon 2,Socata MS-300 Epsilon 2
MS31,MS-315,Morane-Saulnier MS-315
MS73,MS-733 Alcyon,Morane-Saulnier MS-733 Alcyon
MS76,MS-760 Paris,Morane-Saulnier MS-760 Paris
MSAI,Morane-Saulnier AI,Morane-Saulnier AI
MSQ2,Mackey SQ-2,Backcountry Mackey SQ-2
MT,MT-03,Rotorsport MT-03
MU2,Mitsubishi MU-2,Mitsubishi MU-2
MU23,Mü-23 Saurier,Akaflieg Munchen Mü-23 Saurier
MU30,MU-300 Diamond,Mitsubishi MU-300 Diamond
MUS2,M-2 Mustang 2,Bushby M-2 Mustang 2
MVN1,1 Fermer,Mven 1 Fermer
MVRK,Maverick,Phoenix (2) Maverick
MX10,MXP-100 Aventura,Aerotec (2) MXP-100 Aventura
MX1T,MXP-1000 Tayrona,Aeroandina MXP-1000 Tayrona
MX2,MXR MX-2,MXR MX-2
MX58,MXP-158 Embera,Aeroandina MXP-158 Embera
MX65,MXP-650 Amigo,Aerotec (2) MXP-650 Amigo
MX80,MXP-800 Fantasy,Aerotec (2) MXP-800 Fantasy
MXS,MXR MXS,MXR MXS
MY12,MY-102 Tornado,Mylius MY-102 Tornado
MY13,MY-103 Mistral,Mylius MY-103 Mistral
MYA4,Myasishchev M-4,Myasishchev M-4
MYS4,MD-454A Mystère 4A,Dassault MD-454A Mystère 4A
N110,1100 Noralpha,Nord 1100 Noralpha
N120,1200 Norecrin,Nord 1200 Norecrin
N250,N-250,Nusantara N-250
N260,260 Super Broussard,Nord 260 Super Broussard
N262,N-262,Aerospatiale N-262
N3,N-3 Citabriette,Nostalgair N-3 Citabriette
N320,Nord 3202,Nord 3202
N340,Nord 3400,Nord 3400
N3N,Naval Aircraft,Naval Aircraft Factory N3N
N5,Hongdu N-5,Hongdu N-5
NA40,NA-40 Bongo,Unis NA-40 Bongo
NAL2,NALLA-2 Hansa,NAL NALLA-2 Hansa
NAVI,Navion,Ryan Navion
NC85,NC-854,Nord NC-854
ND1T,NDN-1T Turbo,NDN NDN-1T Turbo Firecracker
NDAC,Aerocruiser,Normand Dube Aerocruiser
NDAT,Aerocruiser Turbo,Normand Dube Aerocruiser Turbo 450
NDIC,Nordic 2,Norman Nordic 2
NG4,Brm Aero NG-4,Brm Aero NG-4
NG5,Bristell NG-5,Brm Aero Bristell NG-5
NH90,NH-90,NHI NH-90
NHCO,01 Colibri,New Horizons 01 Colibri
NI28,28 Replica,Nieuport 28 Replica
NIBB,F-14 Nibbio,Aviamilano F-14 Nibbio
NIMB,Nimbus 4T,Schempp-Hirth Nimbus 4T
NIPR,T-66 Nipper,Tipsy T-66 Nipper
NM5,NAL NM-5,NAL NM-5
NMCU,ECH-02 Namcu,Enaer ECH-02 Namcu
NNJA,Nynja,Best Off Nynja
NOMA,N-2 Nomad,GAF N-2 Nomad
NORA,2501 Noratlas,Nord 2501 Noratlas
NORS,C-64 Norseman,Noorduyn C-64 Norseman
NPOR,Nieuport 17,Redfern Nieuport 17
NSTR,North Star,Custom Flight North Star
NT10,Nuwaco T-10,Nuwaco T-10
NXT,Nemesis NXT,Nemesis NXT
NXTE,Electroflight NXTE,Electroflight NXTE
O1,O-1 Bird Dog,Cessna O-1 Bird Dog
O3,Lockheed YO-3,Lockheed YO-3
OH1,Kawasaki OH-1,Kawasaki OH-1
OKHO,Okhotnik,Aero-Astra Okhotnik
OM1,OM-1 Bravo,Morrisey OM-1 Bravo
OMAG,Magnum,O'Neill Magnum
OMGA,Omega 2,Isae Omega 2
OMLA,Laser 300,Omac Laser 300
ONE,G-600,Gogetair G-600
ONEX,Sonex Onex,Sonex Onex
OPCA,EA-7 Optica,Edgley EA-7 Optica
OR10,Orion 10,Orion 10
OR12,SK-12,Orion SK-12
OSCR,P-64 Oscar,Partenavia P-64 Oscar
OUDE,Desert Eagle 2,Olympic Ultralights Desert Eagle 2
OVOD,Vitek Ovod,Vitek Ovod
OZZI,BAC-204 Ozzie,Buchanan BAC-204 Ozzie Mozzie
P06T,P-2006T,Tecnam P-2006T
P1,Kawasaki P-1,Kawasaki P-1
P100,P-100,Pottier P-100
P130,P-130 Bleu Citron,Pottier P-130 Bleu Citron
P136,P-136,Piaggio P-136
P148,P-148,Piaggio P-148
P149,P-149,Piaggio P-149
P180,P-180 Avanti,Piaggio P-180 Avanti
P18T,PA-18T Super Cub,Smith Aviation PA-18T Super Cub
P19,P-19 Scricciolo,Aviamilano P-19 Scricciolo
P1HH,P-1HH Hammerhead,Piaggio P-1HH Hammerhead
P2,P-2 Neptune,Lockheed P-2 Neptune
P208,P-2008,Tecnam P-2008
P210,P210 Pressurized,Cessna P210 Pressurized Centurion
P212,P-2012 Traveller,Tecnam P-2012 Traveller
P220,P-220 Koala,Pottier P-220 Koala
P230,P-230 Panda,Pottier P-230 Panda
P27,P-27 Skyster,Gryf P-27 Skyster
P270,P-270 Amster,Pottier P-270 Amster
P28A,Cherokee (PA-28-140,Piper Cherokee (PA-28-140/150/160/180)
P28B,Cherokee (PA-28-235,Piper Cherokee (PA-28-235)
P28R,PA-28R-180 Cherokee,Piper PA-28R-180 Cherokee Arrow
P28S,PA-28R-201T Turbo,Piper PA-28R-201T Turbo Arrow
P28T,PA-28RT-201 Arrow 4,Piper PA-28RT-201 Arrow 4
P28U,PA-28RT-201T Turbo,Piper PA-28RT-201T Turbo Arrow 4
P3,P-3 Orion,Lockheed P-3 Orion
P32R,PA-32R-300 Lance,Piper PA-32R-300 Lance
P32T,PA-32RT-300 Lance 2,Piper PA-32RT-300 Lance 2
P337,P337 Pressurized,Cessna P337 Pressurized Skymaster
P36,P-36 Hawk,Curtiss P-36 Hawk
P38,P-38 Lightning,Lockheed P-38 Lightning
P39,P-39 Airacobra,Bell P-39 Airacobra
P40,P-40 Kittyhawk,Curtiss P-40 Kittyhawk
P46T,PA-46-500TP Malibu,Piper PA-46-500TP Malibu Meridian
P47,P-47 Thunderbolt,Republic P-47 Thunderbolt
P4Y,P4Y Privateer,Convair P4Y Privateer
P50,P-50 Bouvreuil,Pottier P-50 Bouvreuil
P51,P-51 Mustang,North American P-51 Mustang
P57,P-57 Fachiro 2,Partenavia P-57 Fachiro 2
P60,P-60 Minacro,Pottier P-60 Minacro
P61,P-61 Black Widow,Northrop P-61 Black Widow
P63,P-63 Kingcobra,Bell P-63 Kingcobra
P66P,P-166A,Piaggio P-166A
P66T,P-166DL3,Piaggio P-166DL3
P68,P-68 Victor,Partenavia P-68 Victor
P68T,AP-68TP-300 Spartac,Partenavia AP-68TP-300 Spartacus
P70,Pottier P-70,Pottier P-70
P750,P-750 XStol,Pacific Aerospace P-750 XStol
P8,P-8 Poseidon,Boeing P-8 Poseidon
P80,Pottier P-80,Pottier P-80
P82,P-82 Twin Mustang,North American P-82 Twin Mustang
PA11,PA-11 Cub Special,Piper PA-11 Cub Special
PA12,PA-12 Super Cruiser,Piper PA-12 Super Cruiser
PA14,PA-14 Family,Piper PA-14 Family Cruiser
PA15,PA-15 Vagabond,Piper PA-15 Vagabond
PA16,PA-16 Clipper,Piper PA-16 Clipper
PA17,PA-17 Vagabond,Piper PA-17 Vagabond
PA18,PA-18 Super Cub,Piper PA-18 Super Cub
PA20,PA-20 Pacer,Piper PA-20 Pacer
PA22,PA-22 Tri-Pacer,Piper PA-22 Tri-Pacer
PA23,PA-23-150 Apache,Piper PA-23-150 Apache
PA24,PA-24 Comanche,Piper PA-24 Comanche
PA25,PA-25 Pawnee,Piper PA-25 Pawnee
PA27,PA-23-235 Aztec,Piper PA-23-235 Aztec
PA30,PA-30 Twin Comanche,Piper PA-30 Twin Comanche
PA31,PA-31-300 Navajo,Piper PA-31-300 Navajo
PA32,PA-32 Saratoga,Piper PA-32 Saratoga
PA34,PA-34 Seneca,Piper PA-34 Seneca
PA36,PA-36 Pawnee Brave,Piper PA-36 Pawnee Brave
PA38,PA-38 Tomahawk,Piper PA-38 Tomahawk
PA44,PA-44 Seminole,Piper PA-44 Seminole
PA46,PA-46-310P Malibu,Piper PA-46-310P Malibu
PA47,PA-47 Piper Jet,Piper PA-47 Piper Jet
PACE,CH-300 Pacemaker,Bellanca CH-300 Pacemaker
PAGO,ADV-01 Papango,Sauper ADV-01 Papango
PANT,Panther 2,Rotec Panther 2
PAR1,Paradise P-1,Paradise P-1
PAR4,Paradise P-4,Paradise P-4
PARA,Paraglider,(Any Manufacturer) Paraglider
PARL,Pietenpol Aerial,St. Croix Pietenpol Aerial
PAT2,Patriot 2,Atac Patriot 2
PAT4,PA-31T3-500 T-1040,Piper PA-31T3-500 T-1040
PAUL,CAP-4 Paulistinha,Paulista CAP-4 Paulistinha
PAV4,PAV-4,Carter PAV-4
PAY1,PA-31T1-500 Cheyenn,Piper PA-31T1-500 Cheyenne 1
PAY2,PA-31T-620 Cheyenne,Piper PA-31T-620 Cheyenne 2
PAY3,PA-42-720 Cheyenne,Piper PA-42-720 Cheyenne 3
PAY4,PA-42-1000 Cheyenne,Piper PA-42-1000 Cheyenne 400
PC12,PC-12,Pilatus PC-12
PC21,PC-21,Pilatus PC-21
PC24,PC-24,Pilatus PC-24
PC6P,PC-6 Porter,Pilatus PC-6 Porter
PC6T,PC-6C Turbo-Porter,Pilatus PC-6C Turbo-Porter
PC7,PC-7 Astra,Pilatus PC-7 Astra
PC9,Pilatus PC-9,Pilatus PC-9
PCA2,PCA-2,Pitcairn-Cierva PCA-2
PDIG,SST-2000 Pairadigm,Vstol SST-2000 Pairadigm
PECR,Personal Cruiser,Pro-Composites Personal Cruiser
PEGA,F-20 Pegaso,General Avia F-20 Pegaso
PEGZ,Pegazair,Pegase Aero Pegazair
PELI,Pelican,Ultravia Pelican
PEMB,P-66 Pembroke,Percival P-66 Pembroke
PETL,Petrel,Aero Itba Petrel
PETR,Super Petrel,Edra Super Petrel
PGEE,Perigee,Holcomb Perigee
PGK1,PGK-1 Hirondelle,Western PGK-1 Hirondelle
PHIL,Phillicopter,Vtol Aircraft Phillicopter
PHIX,Phenix,Phenix Phenix
PHNX,Phoenix,Freedom Phoenix
PIAE,Alpha Electro,Pipistrel Alpha Electro
PIAT,Alpha Trainer,Pipistrel Alpha Trainer
PICO,F-15 Picchio,Procaer F-15 Picchio
PILL,T-35A Pillán,Enaer T-35A Pillán
PINO,F-22 Pinguino,General Avia F-22 Pinguino
PIPA,Panthera,Pipistrel Panthera
PISI,Sinus,Pipistrel Sinus
PIT4,Taurus Electro G4,Pipistrel Taurus Electro G4
PITA,Taurus 503,Pipistrel Taurus 503
PITE,Taurus Electro,Pipistrel Taurus Electro
PIVE,Velis Electro,Pipistrel Velis Electro
PIVI,Virus (piston),Pipistrel Virus (piston)
PK11,PIK-11 Tumppu,PIK PIK-11 Tumppu
PK15,PIK-15 Hinu,PIK PIK-15 Hinu
PK18,PIK-18 Sytky,PIK PIK-18 Sytky
PK19,PIK-19 Muhinu,PIK PIK-19 Muhinu
PK20,PIK-20E,PIK PIK-20E
PK21,PIK-21 Super Sytky,PIK PIK-21 Super Sytky
PK23,PIK-23 Suhinu,PIK PIK-23 Suhinu
PK25,PIK-25 Varttimarkka,PIK PIK-25 Varttimarkka
PKAN,U-3M Pelikan,Uetz U-3M Pelikan
PL1,PL-1 Laminar,Pazmany PL-1 Laminar
PL12,PL-12 Airtruk,Transavia PL-12 Airtruk
PL2,Pazmany PL-2,Pazmany PL-2
PL4,Pazmany PL-4,Pazmany PL-4
PL9,PL-9 Stork,Pazmany PL-9 Stork
PLUS,Plus C,Taylorcraft (2) Plus C
PNR2,Pioneer 200,Alpi Pioneer 200
PNR3,Pioneer 300,Alpi Pioneer 300
PNR4,Pioneer 400,Alpi Pioneer 400
PNTH,Panther,Sport Performance Panther
PO2,Polikarpov Po-2,Polikarpov Po-2
PO60,60 Sauterelle,Potez 60 Sauterelle
POLI,Polliwagen,Alvarez Polliwagen
PONY,Reda Pony,Reda Pony
PP2,Pilatus P-2,Pilatus P-2
PP3,Pilatus P-3,Pilatus P-3
PPRO,P-56 Provost,Percival P-56 Provost
PRBP,Pocket Rocket,Howard Hughes Pocket Rocket PR-Bipe
PRBR,Pocket Rocket,Howard Hughes Pocket Rocket PR-Breeze
PRCE,P-57 Sea Prince,Percival P-57 Sea Prince
PREN,P-40 Prentice,Percival P-40 Prentice
PRET,GM&T Pretty Flight,Gm&T GM&T Pretty Flight
PREX,Private Explorer,Private Explorer Private Explorer
PRIM,Bk-100 Prime,Blackshape Bk-100 Prime
PRM1,390 Premier 1,Hawker Beechcraft 390 Premier 1
PROC,P-28 Proctor,Percival P-28 Proctor
PROT,Parrot,Czaw Parrot
PROW,Jaguar,Prowler Jaguar
PRPR,Pocket Rocket,Howard Hughes Pocket Rocket PR-582
PRTS,281 Proteus,Scaled 281 Proteus
PRXT,T-Explorer,Private Explorer T-Explorer
PSTM,Stearman,Podesva Stearman
PSW4,Pzl-Swidnik SW-4,Pzl-Swidnik SW-4
PT21,P-210 Coati,Pottier P-210 Coati
PT22,PT-22 Recruit,Ryan PT-22 Recruit
PT70,P-170,Pottier P-170
PT80,P-180,Pottier P-180
PTMS,S-12 Macho Stinker,Pitts S-12 Macho Stinker
PTS1,S-1 Special,Pitts S-1 Special
PTS2,S-2 Special,Pitts S-2 Special
PTSS,S-1-11 Super,Pitts S-1-11 Super Stinker
PUL6,Super Pulsar 600,Pulsar Super Pulsar 600
PULR,PulsR,P&M Aviation PulsR
PULS,Pulsar,Aero Designs Pulsar
PUMA,SA-330 Puma,Aerospatiale SA-330 Puma
PUP,B-121 Pup,Beagle B-121 Pup
PURS,S-11 Pursuit,Rans S-11 Pursuit
PUSH,Pusher,Prescott Pusher
PW4,Politechnika,Politechnika Warszawska PW-4
PZ01,PZL-101 Gawron,Pzl-Okecie PZL-101 Gawron
PZ02,PZL-102 Kos,Pzl-Okecie PZL-102 Kos
PZ04,PZL-104 Wilga 35,Pzl-Okecie PZL-104 Wilga 35
PZ05,PZL-105 Flaming,Pzl-Okecie PZL-105 Flaming
PZ06,PZL-106A Kruk,Pzl-Okecie PZL-106A Kruk
PZ12,PZL-112 Junior,Pzl-Okecie PZL-112 Junior
PZ26,PZL-126 Mrówka,Pzl-Okecie PZL-126 Mrówka
PZ3T,PZL-130 Orlik,Pzl-Okecie PZL-130 Orlik
PZ4M,PZL-104M Wilga 2000,Pzl-Okecie PZL-104M Wilga 2000
PZ6T,PZL-106AT Turbo,Pzl-Okecie PZL-106AT Turbo Kruk
Q01,Reiner Stemme Q-01,Reiner Stemme Q-01
Q1,MQ-1 Predator,General Atomics MQ-1 Predator
Q25,MQ-25 Stingray,Boeing MQ-25 Stingray
Q4,RQ-4 Global Hawk,Northrop Grumman RQ-4 Global Hawk
Q5,Nanchang Q-5,Nanchang Q-5
Q9,MQ-9 Reaper,General Atomics MQ-9 Reaper
QAIL,Quail,Aerosport Quail
QALT,Qualt,FMP Qualt
QEST,Questor,Omni-Weld Questor
QIC2,Quickie Q2,Quickie Quickie Q2
QINT,Quintus,Schempp-Hirth Quintus
QR01,CQR-01,Quercy CQR-01
QUAS,Quasar Lite,Aeroalcool Quasar Lite
QUIC,Quickie,Quickie Quickie
R100,R-1180 Aiglon,Robin R-1180 Aiglon
R109,DR-109 Rhino,Rihn DR-109 Rhino
R11,Rupert R-11,Rupert R-11
R135,RC-135,Boeing RC-135
R185,Rocket 185,Johnson Rocket 185
R2,R-02 Robert,SAU R-02 Robert
R200,R-2100 Super Club,Robin R-2100 Super Club
R22,Robinson R-22,Robinson R-22
R300,R-300,Robin R-300
R4,R-4 Hoverfly,Sikorsky R-4 Hoverfly
R44,R-44 Raven,Robinson R-44 Raven
R66,Robinson R-66,Robinson R-66
R721,727-100RE Super 27,Boeing 727-100RE Super 27
R722,727-200RE Super 27,Boeing 727-200RE Super 27
R90F,R-90-230FG,Ruschmeyer R-90-230FG
R90R,R-90-230RG,Ruschmeyer R-90-230RG
R90T,R-90-420AT,Ruschmeyer R-90-420AT
RA14,RA-14 Loisirs,Adam (1) RA-14 Loisirs
RA17,RA-17,Adam (1) RA-17
RAF2,RAF-2000,Rotary Air Force RAF-2000
RAID,Super Sky Raider,Sky Raider Super Sky Raider
RAIL,Aerosport Rail,Aerosport Rail
RALL,MS-880 Rallye Club,Morane-Saulnier MS-880 Rallye Club
RANG,Rangemaster,Navion Rangemaster
RARO,Radial Rocket,New Century Radial Rocket
RAV3,Ravin 300,Ravin Ravin 300
RAV5,Ravin 500,Ravin Ravin 500
RAZM,Raz-Mut,Saint Germain Raz-Mut
RBEL,Rebel,Murphy Rebel
RC3,RC-3 Seabee,Republic RC-3 Seabee
RC70,Commander 700,Rockwell Commander 700
RCAL,Radical,Murphy Radical
RD03,RD-03 Edelweiss,Duruble RD-03 Edelweiss
RD20,RD-20 Raid Driver,Denize RD-20 Raid Driver
RDH2,Redfern DH-2,Redfern DH-2
RELI,AT-19 Reliant,Stinson AT-19 Reliant
RENE,Renegade,Murphy Renegade
REV6,Revcon 6G,Groen Revcon 6G
RF10,RF-10,Fournier RF-10
RF3,Fournier RF-3,Fournier RF-3
RF4,Fournier RF-4,Fournier RF-4
RF47,RF-47,Fournier RF-47
RF5,Fournier RF-5,Fournier RF-5
RF6,Fournier RF-6,Fournier RF-6
RF9,Fournier RF-9,Fournier RF-9
RFAL,Rafale,Dassault Rafale
RGNT,C-42 Regente,Neiva C-42 Regente
RISN,Risen,Swiss Excellence Risen
RJ03,RJ-03 Ibis,Junqua RJ-03 Ibis
RJ1H,RJ-100,British Aerospace RJ-100
RJ70,RJ-70,British Aerospace RJ-70
RJ85,RJ-85,British Aerospace RJ-85
RK5,Kalinauskas RK-5,Kalinauskas RK-5
RLU1,RLU-1 Breezy,RLU RLU-1 Breezy
RMOU,EH1-01 Rotormouse,Hillberg EH1-01 Rotormouse
RNGR,RangeR,DAC RangeR
ROAR,Rocket Racer,Velocity Rocket Racer
RODS,DR-107 One Design,Rihn DR-107 One Design
ROND,F-4 Rondone,Ambrosini F-4 Rondone
ROSE,Windrose,Maupin Windrose
RP1,Mitsubishi RP-1,Mitsubishi RP-1
RPUP,LW-4 Roto-Pup,Little Wing LW-4 Roto-Pup
RS12,S-12 Airaile,Rans S-12 Airaile
RS18,RS-180 Sportsman,Sportavia-Putzer RS-180 Sportsman
RS20,S-20 Raven,Rans S-20 Raven
RS21,S-21 Outbound,Rans S-21 Outbound
RTA4,RTAF-4 Chandra,Rtaf RTAF-4 Chandra
RUBI,ML-250 Rubis,Scintex ML-250 Rubis
RV10,RV-10,Van'S RV-10
RV12,RV-12,Van'S RV-12
RV14,RV-14,Van'S RV-14
RV3,Van'S RV-3,Van'S RV-3
RV4,Van'S RV-4,Van'S RV-4
RV4T,RV-4T,Van'S RV-4T
RV6,Van'S RV-6,Van'S RV-6
RV7,Van'S RV-7,Van'S RV-7
RV8,Van'S RV-8,Van'S RV-8
RV9,Van'S RV-9,Van'S RV-9
RVAL,AH-2 Rooivalk,Denel AH-2 Rooivalk
RW19,RW-19 Stork,Ragwing RW-19 Stork
RW20,RW-20 Stork,Ragwing RW-20 Stork
RW22,RW-22 Tiger Moth,Ragwing RW-22 Tiger Moth
RW26,RW-26 Special 2,Ragwing RW-26 Special 2
RW3,RW-3 Multoplane,Rhein-West-Flug RW-3 Multoplane
RYSA,Rysachok,Technoavia Rysachok
RYST,Ryan ST-A,Ryan ST-A
S05F,S-205-18F,Siai-Marchetti S-205-18F
S05R,S-205-18R,Siai-Marchetti S-205-18R
S1,S-1 Cadet,Interstate S-1 Cadet
S10,10 Voyager,Stinson 10 Voyager
S107,Spratt 107,Spratt 107
S108,108 Station Wagon,Stinson 108 Station Wagon
S10S,S-10 Chrysalis,Stemme S-10 Chrysalis
S11,S-11 Instructor,Fokker S-11 Instructor
S12,S-12 Air Car,Spencer S-12 Air Car
S122,SL-122 Pchelka,Skyline SL-122 Pchelka
S12S,S-12 Twin Voyager,Stemme S-12 Twin Voyager
S15S,Stemme S-15,Stemme S-15
S15U,S-15 Patroller,Stemme S-15 Patroller
S200,S-200 Minijet,Sipa S-200 Minijet
S202,S-202,Sgau S-202
S208,S-208,Siai-Marchetti S-208
S21,Macdonald S-21,Macdonald S-21
S211,S-211,Siai-Marchetti S-211
S223,223 Flamingo,MBB 223 Flamingo
S22T,SR-22 Turbo,Cirrus SR-22 Turbo
S274,Shahed 274,Irgc Shahed 274
S278,Shahed 278,Hesa Shahed 278
S285,Shahed 285,Hesa Shahed 285
S2P,S-2 Tracker,Grumman S-2 Tracker
S2T,S-2 Turbo Tracker,Grumman S-2 Turbo Tracker
S3,S-3 Viking,Lockheed S-3 Viking
S330,S-333,Sikorsky S-333
S355,355 Firebird,Scaled 355 Firebird
S360,SA-360 Dauphin,Aerospatiale SA-360 Dauphin
S37,S-37 Berkut,Sukhoi S-37 Berkut
S38,S-38 Replica,Sikorsky S-38 Replica
S39,Sikorsky S-39,Sikorsky S-39
S4,S-4 Privateer,Arctic S-4 Privateer
S400,S-400 Kapitan,Sgau S-400 Kapitan
S434,S-434,Sikorsky S-434
S45,S-45 Mystere,Partenair S-45 Mystere
S450,SILA-450,Aero-East-Europe SILA-450
S51,Sikorsky S-51,Sikorsky S-51
S51D,S-51D,Stewart (1) S-51D
S52,Sikorsky S-52,Sikorsky S-52
S55P,Sikorsky S-55,Sikorsky S-55
S55T,S-55T,Sikorsky S-55T
S58P,Sikorsky S-58,Sikorsky S-58
S58T,S-58T,Sikorsky S-58T
S6,Stemme S-6,Stemme S-6
S601,SN-601 Corvette,Aerospatiale SN-601 Corvette
S61,S-61A,Sikorsky S-61A
S61R,S-61R,Sikorsky S-61R
