# Santo del giorno e nomi che festeggiano l'onomastico, per tutti i 366
# giorni. Formato: MM-GG;santo;nomi separati da virgola.
#
# Compilato dalle pagine giorno per giorno di Cathopedia (it.cathopedia.org,
# CC BY-SA) per il santo, e dagli elenchi degli onomastici per i nomi. E' un
# calendario, non cambia: sta qui dentro perche' il servizio funzioni anche
# senza rete.
#
# giorno;santo;nomi
08-05;Dedicazione di Santa Maria Maggiore;Abele,Nives,Osvaldo,Paride,Emidio
08-06;Trasfigurazione del Signore;Donato,Gaetano,Mafalda,Afro
08-07;San Gaetano di Thiene;Gaetano,Benedetto
08-08;San Domenico di Guzman;Domenico,Ciriaco
08-09;Santa Teresa Benedetta della Croce;Teresa,Romano
08-10;San Lorenzo martire;Lorenzo
08-11;Santa Chiara d'Assisi;Chiara,Degna,Lelia,Rufina,Susanna,Clara
08-12;Santa Giovanna Francesca de Chantal;Giovanna,Ercole,Colombo
08-13;Sant'Ippolito di Roma;Ippolito,Concordia
08-14;San Massimiliano Maria Kolbe;Massimiliano,Atanasia,Alfredo
08-15;Assunzione della Beata Vergine Maria;Maria,Assunta,Arduino,Napoleone
08-16;San Rocco;Rocco,Serena,Petra
08-17;Santa Chiara da Montefalco;Chiara,Giacinto,Settimo,Liberato
08-18;Sant'Elena imperatrice;Elena,Aimone
08-19;San Ludovico d'Angiò;Ludovico,Italo,Mariano,Bertolfo
08-20;San Bernardo di Chiaravalle;Bernardo,Filiberto
08-21;San Pio X;Pio,Baldovino,Malvina
08-22;Beata Vergine Maria Regina;Maria,Fabrizio,Ildebrando,Incoronata
08-23;Santa Rosa da Lima;Rosa,Benito,Novella,Rosanna
08-24;San Bartolomeo apostolo;Bartolomeo,Anita,Tolomeo,Michela,Orio
08-25;San Luigi IX di Francia;Luigi,Clodoveo,Ebe,Erminia,Genesio,Patrizia
08-26;San Melchisedech;Melchisedech,Oronzo,Sandro,Alessandro
08-27;Santa Monica;Monica
08-28;Sant'Agostino d'Ippona;Agostino,Ermes,Viviano,Adelina,Ermete
08-29;Martirio di San Giovanni Battista;Giovanni,Adelfo,Sabino
08-30;San Pammachio;Pammachio,Gaudenzia
08-31;San Giuseppe d'Arimatea;Giuseppe,Aida,Aidano,Aristide,Raimondo
09-01;Sant'Egidio;Egidio,Giosuè
09-02;Sant'Alberto di Pontida;Alberto,Ottaviano,Gianfranco
09-03;San Gregorio Magno;Gregorio,Clelia,Marino
09-04;Santa Rosalia;Rosalia,Dina,Mosè,Prospera,Scipione
09-05;Santa Teresa di Calcutta;Teresa,Berto,Giordano
09-06;San Zaccaria profeta;Zaccaria,Eva,Umberto
09-07;San Clodoaldo;Clodoaldo,Guido,Regina
09-08;Natività della Beata Vergine Maria;Maria,Addolorata,Bellina
09-09;San Pietro Claver;Pietro,Omero,Sergio,Beltramo
09-10;San Nicola da Tolentino;Nicola,Candida,Salvo
09-11;San Giovanni Gabriele Perboyre;Giovanni,Almiro
09-12;Santissimo Nome di Maria;Maria,Marilena,Franco,Mariasole
09-13;San Giovanni Crisostomo;Giovanni,Amato,Maurilio
09-14;Esaltazione della Santa Croce;Croce,Crescenzio,Santa
09-15;Beata Vergine Maria Addolorata;Maria,Dolores,Melita,Orlando,Baldo
09-16;San Cornelio e San Cipriano;Cornelio,Cipriano,Editta,Eufemia,Ludmilla
09-17;Stigmate di San Francesco d'Assisi;Francesco,Colomba,Roberto
09-18;San Giuseppe da Copertino;Giuseppe,Arianna,Eustorgio,Riccarda
09-19;San Gennaro;Gennaro,Elio,Costanza
09-20;Sant'Eustachio Placido;Eustachio,Filippa,Fausta,Giancarlo
09-21;San Matteo apostolo;Matteo,Bernarda,Giona
09-22;San Maurizio;Maurizio,Silvano,Tazio
09-23;San Pio da Pietrelcina;Pio,Lino,Rebecca,Tecla,Libero
09-24;Beata Vergine Maria della Mercede;Maria,Mercedes,Pacifico,Amata
09-25;San Firmino di Amiens;Firmino,Aurelia
09-26;Santi Cosma e Damiano;Cosma,Damiano,Cosimo,Eusebio
09-27;San Vincenzo de' Paoli;Vincenzo,Fidenzio
09-28;San Venceslao;Venceslao,Amalio
09-29;Santi Arcangeli Michele, Gabriele e Raffaele;Michele,Gabriele,Raffaele,Alarico
09-30;San Girolamo;Girolamo,Dino,Rachele,Sonia,Sofia
10-01;Santa Teresa di Gesù Bambino;Teresa,Remigio
10-02;Santi Angeli Custodi;Angelo,Berengario
10-03;Santa Candida di Roma;Candida,Candido
10-04;San Francesco d'Assisi;Francesco,Berenice,Petronio
10-05;Santa Faustina Kowalska;Faustina,Attila,Felicia,Tullia,Flaviana
10-06;San Bruno di Colonia;Bruno,Alberta
10-07;Beata Vergine Maria del Rosario;Rosario,Adelchi,Bacco,Adalgiso
10-08;Santa Taide;Taide,Ivano,Onesta,Porzia,Lorenza
10-09;San Dionigi;Dionigi,Abramo,Giovanni
10-10;Sant'Alderico di Sens;Alderico,Dana,Daniele
10-11;San Giovanni XXIII;Giovanni,Emanuela,Folco,Placido
10-12;Sant'Amico;Amico,Amone,Serafino
10-13;Sant'Edoardo il Confessore;Edoardo
10-14;San Callisto I;Callisto,Fortunata,Guendalina
10-15;Santa Teresa d'Avila;Teresa,Edda,Ruggero
10-16;Sant'Edvige;Edvige,Margherita
10-17;Sant'Ignazio di Antiochia;Ignazio,Eloisa,Marisa,Rodolfo,Gina
10-18;San Luca evangelista;Luca
10-19;San Paolo della Croce;Paolo,Cleopatra,Laura,Loretta
10-20;Sant'Irene del Portogallo;Irene,Aurora
10-21;Sant'Orsola;Orsola,Bertoldo,Dasio,Zaira,Celina
10-22;San Giovanni Paolo II;Giovanni Paolo,Apollo
10-23;San Giovanni da Capestrano;Giovanni,Manlio
10-24;Sant'Antonio Maria Claret;Antonio,Raffaele
10-25;Santa Tabita di Ioppe;Tabita,Gavino,Daria,Crisanto
10-26;Sant'Evaristo;Evaristo
10-27;San Fiorenzo;Fiorenzo
10-28;Santi Simone e Giuda Taddeo;Simone,Giuda,Taddeo,Simona,Simeone
10-29;Sant'Ermelinda;Ermelinda,Cordelia,Narciso,Eusebia
10-30;Beata Benvenuta Boiani;Benvenuta,Gerardo
10-31;Santa Lucilla di Roma;Lucilla,Volfango
11-01;Tutti i Santi;Ognissanti
11-02;Commemorazione dei fedeli defunti;Tobia
11-03;San Martino de Porres;Martino,Dalila,Silvia,Uberto,Giusto
11-04;San Carlo Borromeo;Carlo,Amauri,Arrigo,Vitale,Chiaro
11-05;Sant'Elisa;Elisa,Galeazzo
11-06;San Leonardo di Noblac;Leonardo
11-07;Sant'Ernesto di Zwiefalten;Ernesto,Carina,Urania,Ercolano
11-08;San Goffredo di Amiens;Goffredo,Quarto,Diodato
11-09;Dedicazione della Basilica Lateranense;Teodoro
11-10;San Leone Magno;Leone,Fiorenza,Ninfa
11-11;San Martino di Tours;Martino
11-12;San Giosafat Kuncewycz;Giosafat,Aurelio,Diego,Renato
11-13;Sant'Agostina Pietrantoni;Agostina,Omobono
11-14;Santa Veneranda;Veneranda,Venerando,Filomeno
11-15;Sant'Alberto Magno;Alberto,Arturo,Enea,Leopoldo
11-16;Santa Gertrude di Helfta;Geltrude,Margherita,Elpidio
11-17;Santa Elisabetta d'Ungheria;Elisabetta,Eugenio
11-18;Dedicazione delle Basiliche di Pietro e Paolo;Noè,Alda,Frediano
11-19;San Fausto di Alessandria;Fausto
11-20;San Benigno di Milano;Benigno,Edmondo,Ottavio
11-21;Presentazione della Beata Vergine Maria;Celso
11-22;Santa Cecilia;Cecilia,Ernesta
11-23;San Clemente I;Clemente,Adelinda,Colombano
11-24;Sant'Andrea Dung-Lac;Andrea,Flora
11-25;Santa Caterina d'Alessandria;Caterina
11-26;Beata Delfina di Signe;Delfina,Delfino,Bellino
11-27;San Gustavo;Gustavo,Zefiro,Virgilio
11-28;Santa Teodora di Rossano;Teodora,Giacomo
11-29;San Saturnino di Tolosa;Saturnino,Fedro
11-30;Sant'Andrea apostolo;Andrea
12-01;Sant'Eligio di Noyon;Eligio
12-02;Santa Bibiana;Bibiana,Viviana,Evelina
12-03;San Francesco Saverio;Francesco,Cassiano
12-04;Santa Barbara;Barbara,Giovanni,Ada,Isa
12-05;Santa Crispina;Crispina,Saba
12-06;San Nicola di Bari;Nicola,Angelica,Terzo,Fortunato,Emiliano
12-07;Sant'Ambrogio;Ambrogio
12-08;Immacolata Concezione;Concetta,Immacolata,Conchita
12-09;San Juan Diego;Diego,Amleto,Cesare,Siro,Sirio
12-10;Beata Vergine Maria di Loreto;Loredana,Amanzio,Boris,Nazzareno
12-11;San Damaso I;Damaso
12-12;Beata Vergine Maria di Guadalupe;Lena,Rosalinda
12-13;Santa Lucia;Lucia,Antioco,Oreste
12-14;San Giovanni della Croce;Giovanni,Pompeo
12-15;Santa Cristiana;Cristiana,Noemi,Naomi
12-16;Sant'Adelaide;Adelaide,Adone,Albina
