# Catalogo degli aeroporti: da codice IATA/ICAO a nome leggibile.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# aeroporti.csv, che vince sempre su questo.
#
# Fonte: OurAirports (pubblico dominio). Scali, non eliporti.
# 18361 voci.
AAA/NTGA,Anaa,Anaa Airport
ARE/TJAB,Arecibo,Arecibo Antonio Nery Juarbe Pol Airport
ARF,Acaricuara,Acaricuara Airport
ARG/KARG,Walnut Ridge,Walnut Ridge Regional Airport
ARH/ULAA,Archangelsk,Archangelsk Talagi Airport
ARI/SCAR,Arica,Arica Chacalluta International Airport
ARK/HTAR,Arusha,Arusha Airport
ARL/DFER,Arly,Arly Airport
ARM/YARM,Armidale,Armidale Airport
ARN/ESSA,Stockholm,Stockholm-Arlanda Airport
ARO,Arboletes,Arboletes Airport
ARP,Aragip,Aragip Airport
ARQ/SKAT,Arauquita,Arauquita El Troncal Airport
ARR/SAVR,Alto Rio Senguerr,Alto Rio Senguerr D. Casimiro Szlapelis Airport
ARS/SJVO,Aragarças,Aragarças Airport
ART/KART,Watertown,Watertown International Airport
ARU/SBAU,Araçatuba,Araçatuba Airport
ARV/KARV,Woodruff,Woodruff Lakeland Airport Noble F Lee Memorial Field
ARW/LRAR,Arad,Arad International Airport
ARX/SBAC,Aracati,Aracati Dragão do Mar Regional Airport
ARY/YARA,Ararat,Ararat Airport
ARZ/FNZE,N'zeto,N'zeto Airport
ASA/HHSB,Assab,Assab International Airport
ASB/UTAA,Ashgabat,Ashgabat International Airport
ASC/SLAS,Ascensión de,Ascención de Guarayos Airport
ASD/MYAF,Andros Town,Andros Town Airport
ASE/KASE,Aspen,Aspen-Pitkin County Airport (Sardy Field)
ASF/URWA,Astrakhan,Astrakhan Narimanovo Boris M. Kustodiev International Airport
ASG/NZAS,Ashburton,Ashburton Airport
ASH/KASH,Nashua,Nashua Airport / Boire Field
ASI/FHAW,Cat Hill,Cat Hill RAF Ascension Island
ASJ/RJKA,Amami,Amami Airport
ASK/DIYO,Yamoussoukro,Yamoussoukro International Airport
ASL/KASL,Marshall,Marshall Harrison County Airport
ASM/HHAS,Asmara,Asmara International Airport
